code,display_name,name,list_date,delist_date,type,exchange,board
000711.XSHE,ST京蓝,STJL,1997-04-11,2200-01-01,stock,XSHE,MainBoard_SZ
000712.XSHE,锦龙股份,JLGF,1997-04-15,2200-01-01,stock,XSHE,MainBoard_SZ
000718.XSHE,苏宁环球,SNHQ,1997-04-08,2200-01-01,stock,XSHE,MainBoard_SZ
000719.XSHE,中原传媒,ZYCM,1997-03-31,2200-01-01,stock,XSHE,MainBoard_SZ
000720.XSHE,新能泰山,XNTS,1997-05-09,2200-01-01,stock,XSHE,MainBoard_SZ
000726.XSHE,鲁泰A,LTA,2000-12-25,2200-01-01,stock,XSHE,MainBoard_SZ
000727.XSHE,冠捷科技,GJKJ,1997-05-20,2200-01-01,stock,XSHE,MainBoard_SZ
000733.XSHE,振华科技,ZHKJ,1997-07-03,2200-01-01,stock,XSHE,MainBoard_SZ
000735.XSHE,罗牛山,LNS,1997-06-11,2200-01-01,stock,XSHE,MainBoard_SZ
000736.XSHE,中交发展,ZJFZ,1997-04-25,2200-01-01,stock,XSHE,MainBoard_SZ
000737.XSHE,北方铜业,BFTY,1997-04-28,2200-01-01,stock,XSHE,MainBoard_SZ
000751.XSHE,锌业股份,XYGF,1997-06-26,2200-01-01,stock,XSHE,MainBoard_SZ
000756.XSHE,新华制药,XHZY,1997-08-06,2200-01-01,stock,XSHE,MainBoard_SZ
000758.XSHE,中色股份,ZSGF,1997-04-16,2200-01-01,stock,XSHE,MainBoard_SZ
000761.XSHE,本钢板材,BGBC,1998-01-15,2200-01-01,stock,XSHE,MainBoard_SZ
000762.XSHE,西藏矿业,XZKY,1997-07-08,2200-01-01,stock,XSHE,MainBoard_SZ
000766.XSHE,通化金马,THJM,1997-04-30,2200-01-01,stock,XSHE,MainBoard_SZ
000767.XSHE,晋控电力,JKDL,1997-06-09,2200-01-01,stock,XSHE,MainBoard_SZ
000778.XSHE,新兴铸管,XXZG,1997-06-06,2200-01-01,stock,XSHE,MainBoard_SZ
000789.XSHE,万年青,WNQ,1997-09-23,2200-01-01,stock,XSHE,MainBoard_SZ
000791.XSHE,甘肃能源,GSNY,1997-10-14,2200-01-01,stock,XSHE,MainBoard_SZ
000793.XSHE,*ST华闻,*STHW,1997-07-29,2200-01-01,stock,XSHE,MainBoard_SZ
000795.XSHE,英洛华,YLH,1997-08-08,2200-01-01,stock,XSHE,MainBoard_SZ
000796.XSHE,凯撒旅业,KSLY,1997-07-03,2200-01-01,stock,XSHE,MainBoard_SZ
000797.XSHE,中国武夷,ZGWY,1997-07-15,2200-01-01,stock,XSHE,MainBoard_SZ
000799.XSHE,酒鬼酒,JGJ,1997-07-18,2200-01-01,stock,XSHE,MainBoard_SZ
000801.XSHE,四川九洲,SCJZ,1998-05-06,2200-01-01,stock,XSHE,MainBoard_SZ
000802.XSHE,北京文化,BJWH,1998-01-08,2200-01-01,stock,XSHE,MainBoard_SZ
000810.XSHE,创维数字,CWSZ,1998-06-02,2200-01-01,stock,XSHE,MainBoard_SZ
000811.XSHE,冰轮环境,BLHJ,1998-05-28,2200-01-01,stock,XSHE,MainBoard_SZ
000813.XSHE,德展健康,DZJK,1998-05-19,2200-01-01,stock,XSHE,MainBoard_SZ
000815.XSHE,美利云,MLY,1998-06-09,2200-01-01,stock,XSHE,MainBoard_SZ
000818.XSHE,航锦科技,HJKJ,1997-10-17,2200-01-01,stock,XSHE,MainBoard_SZ
000821.XSHE,ST京机,STJJ,1998-06-26,2200-01-01,stock,XSHE,MainBoard_SZ
000823.XSHE,超声电子,CSDZ,1997-10-08,2200-01-01,stock,XSHE,MainBoard_SZ
000828.XSHE,东莞控股,DGKG,1997-06-17,2200-01-01,stock,XSHE,MainBoard_SZ
000829.XSHE,天音控股,TYKG,1997-12-02,2200-01-01,stock,XSHE,MainBoard_SZ
000831.XSHE,中国稀土,ZGXT,1998-09-11,2200-01-01,stock,XSHE,MainBoard_SZ
000833.XSHE,粤桂股份,YGGF,1998-11-11,2200-01-01,stock,XSHE,MainBoard_SZ
000836.XSHE,ST富通,STFT,1997-09-29,2024-08-09,stock,XSHE,MainBoard_SZ
000837.XSHE,秦川机床,QCJC,1998-09-28,2200-01-01,stock,XSHE,MainBoard_SZ
000848.XSHE,承德露露,CDLL,1997-11-13,2200-01-01,stock,XSHE,MainBoard_SZ
000851.XSHE,*ST高鸿,*STGH,1998-06-09,2025-11-10,stock,XSHE,MainBoard_SZ
000860.XSHE,顺鑫农业,SXNY,1998-11-04,2200-01-01,stock,XSHE,MainBoard_SZ
000869.XSHE,张裕A,ZYA,2000-10-26,2200-01-01,stock,XSHE,MainBoard_SZ
000875.XSHE,电投绿能,DTLN,2002-09-26,2200-01-01,stock,XSHE,MainBoard_SZ
000880.XSHE,潍柴重机,WCZJ,1998-04-02,2200-01-01,stock,XSHE,MainBoard_SZ
000881.XSHE,中广核技,ZGHJ,1998-09-02,2200-01-01,stock,XSHE,MainBoard_SZ
000882.XSHE,华联股份,HLGF,1998-06-16,2200-01-01,stock,XSHE,MainBoard_SZ
000885.XSHE,城发环境,CFHJ,1999-03-19,2200-01-01,stock,XSHE,MainBoard_SZ
000889.XSHE,中嘉博创,ZJBC,1997-12-18,2200-01-01,stock,XSHE,MainBoard_SZ
000893.XSHE,亚钾国际,YJGJ,1998-12-24,2200-01-01,stock,XSHE,MainBoard_SZ
000899.XSHE,赣能股份,GNGF,1997-11-26,2200-01-01,stock,XSHE,MainBoard_SZ
000900.XSHE,现代投资,XDTZ,1999-01-28,2200-01-01,stock,XSHE,MainBoard_SZ
000901.XSHE,航天科技,HTKJ,1999-04-01,2200-01-01,stock,XSHE,MainBoard_SZ
000902.XSHE,新洋丰,XYF,1999-04-08,2200-01-01,stock,XSHE,MainBoard_SZ
000903.XSHE,ST云动,STYD,1999-04-15,2200-01-01,stock,XSHE,MainBoard_SZ
000905.XSHE,厦门港务,XMGW,1999-04-29,2200-01-01,stock,XSHE,MainBoard_SZ
000910.XSHE,大亚圣象,DYSX,1999-06-30,2200-01-01,stock,XSHE,MainBoard_SZ
000913.XSHE,钱江摩托,QJMT,1999-05-14,2200-01-01,stock,XSHE,MainBoard_SZ
000915.XSHE,华特达因,HTDY,1999-06-09,2200-01-01,stock,XSHE,MainBoard_SZ
000917.XSHE,电广传媒,DGCM,1999-03-25,2200-01-01,stock,XSHE,MainBoard_SZ
000918.XSHE,*ST嘉凯,*STJK,1999-07-20,2023-07-27,stock,XSHE,MainBoard_SZ
000921.XSHE,海信家电,HXJD,1999-07-13,2200-01-01,stock,XSHE,MainBoard_SZ
000923.XSHE,河钢资源,HGZY,1999-07-14,2200-01-01,stock,XSHE,MainBoard_SZ
000925.XSHE,众合科技,ZHKJ,1999-06-11,2200-01-01,stock,XSHE,MainBoard_SZ
000926.XSHE,福星股份,FXGF,1999-06-18,2200-01-01,stock,XSHE,MainBoard_SZ
000927.XSHE,中国铁物,ZGTW,1999-07-27,2200-01-01,stock,XSHE,MainBoard_SZ
000928.XSHE,中钢国际,ZGGJ,1999-03-12,2200-01-01,stock,XSHE,MainBoard_SZ
000930.XSHE,中粮科技,ZLKJ,1999-07-12,2200-01-01,stock,XSHE,MainBoard_SZ
000931.XSHE,中关村,ZGC,1999-07-12,2200-01-01,stock,XSHE,MainBoard_SZ
000933.XSHE,神火股份,SHGF,1999-08-31,2200-01-01,stock,XSHE,MainBoard_SZ
000935.XSHE,四川双马,SCSM,1999-08-24,2200-01-01,stock,XSHE,MainBoard_SZ
000936.XSHE,华西股份,HXGF,1999-08-10,2200-01-01,stock,XSHE,MainBoard_SZ
000950.XSHE,重药控股,CYKG,1999-09-16,2200-01-01,stock,XSHE,MainBoard_SZ
000951.XSHE,中国重汽,ZGZQ,1999-11-25,2200-01-01,stock,XSHE,MainBoard_SZ
000957.XSHE,中通客车,ZTKC,2000-01-13,2200-01-01,stock,XSHE,MainBoard_SZ
000958.XSHE,电投产融,DTCR,1999-12-23,2200-01-01,stock,XSHE,MainBoard_SZ
000962.XSHE,东方钽业,DFTY,2000-01-20,2200-01-01,stock,XSHE,MainBoard_SZ
000966.XSHE,长源电力,CYDL,2000-03-16,2200-01-01,stock,XSHE,MainBoard_SZ
000968.XSHE,蓝焰控股,LYKG,2000-06-22,2200-01-01,stock,XSHE,MainBoard_SZ
000969.XSHE,安泰科技,ATKJ,2000-05-29,2200-01-01,stock,XSHE,MainBoard_SZ
000970.XSHE,中科三环,ZKSH,2000-04-20,2200-01-01,stock,XSHE,MainBoard_SZ
000973.XSHE,佛塑科技,FSKJ,2000-05-25,2200-01-01,stock,XSHE,MainBoard_SZ
000976.XSHE,*ST华铁,*STHT,2000-06-01,2024-08-26,stock,XSHE,MainBoard_SZ
000982.XSHE,中银绒业,ZYRY,2000-07-06,2024-08-09,stock,XSHE,MainBoard_SZ
000989.XSHE,九芝堂,JZT,2000-06-28,2200-01-01,stock,XSHE,MainBoard_SZ
000990.XSHE,诚志股份,CZGF,2000-07-06,2200-01-01,stock,XSHE,MainBoard_SZ
000998.XSHE,隆平高科,LPGK,2000-12-11,2200-01-01,stock,XSHE,MainBoard_SZ
001203.XSHE,大中矿业,DZKY,2021-05-10,2200-01-01,stock,XSHE,Other
001213.XSHE,中铁特货,ZTTH,2021-09-08,2200-01-01,stock,XSHE,Other
001227.XSHE,兰州银行,LZYX,2022-01-17,2200-01-01,stock,XSHE,Other
001233.XSHE,海安集团,HAJT,2025-11-25,2200-01-01,stock,XSHE,Other
001236.XSHE,弘业期货,HYQH,2022-08-05,2200-01-01,stock,XSHE,Other
001258.XSHE,立新能源,LXNY,2022-07-27,2200-01-01,stock,XSHE,Other
001267.XSHE,汇绿生态,HLST,2021-11-17,2200-01-01,stock,XSHE,Other
001269.XSHE,欧晶科技,OJKJ,2022-09-30,2200-01-01,stock,XSHE,Other
001270.XSHE,铖昌科技,CCKJ,2022-06-06,2200-01-01,stock,XSHE,Other
